School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Rock Bridge,6.47,7.22,13.69,1,5,1
Blue Springs South,4.72,8.5,13.23,3,1,2
Grain Valley,4.44,8.26,12.7,8,2,3
Raymore-Peculiar,4.07,7.76,11.84,11,4,4
Liberty North,6.02,5.65,11.67,2,12,5
Kickapoo,4.64,6.97,11.61,4,6,6
Lafayette (Wildwood),3.39,7.97,11.36,25,3,7
Kearney,3.68,6.58,10.25,21,7,8
Ft. Zumwalt West,3.74,6.34,10.08,19,8,9
Francis Howell,4.21,5.37,9.59,9,17,10
Lee's Summit West,4.53,5.03,9.56,6,23,11
Helias Catholic,3.9,5.44,9.34,16,16,12
Centralia,3.46,5.83,9.29,23,11,13
Platte County,4.03,5.2,9.24,13,19,14
Troy Buchanan,3.88,5.31,9.18,17,18,15
Liberty,3.91,5.0,8.91,15,24,16
Mid-Buchanan,2.57,6.11,8.68,47,10,17
Park Hill,2.54,6.14,8.68,51,9,18
Hallsville,3.17,5.48,8.65,29,14,19
Jackson,4.04,4.35,8.39,12,35,20
Belton,2.88,5.45,8.33,37,15,21
Parkway West,4.5,3.83,8.33,7,54,22
Highland,3.71,4.51,8.22,20,33,23
Washington,4.53,3.61,8.15,5,61,24
Fatima,3.31,4.79,8.1,27,28,25
Blue Springs,3.86,4.09,7.96,18,47,26
Rockwood Summit,4.03,3.7,7.73,14,59,27
Ozark,3.05,4.67,7.71,33,30,28
Republic,2.5,5.1,7.6,53,20,29
Oakville,2.96,4.57,7.53,34,32,30
Westminster Christian Academy,2.52,4.97,7.5,52,25,31
St. Dominic,3.29,4.1,7.39,28,46,32
Joplin,4.15,3.16,7.3,10,67,33
Northwest (Cedar Hill),3.05,4.03,7.08,32,48,34
Carrollton,2.2,4.73,6.93,60,29,35
Marshfield,2.62,4.31,6.93,45,38,36
Lindbergh,2.61,4.23,6.85,46,43,37
Oak Grove,2.55,4.27,6.83,49,40,38
Carthage,2.56,4.27,6.83,48,41,39
Winfield,1.74,5.06,6.8,73,21,40
Chillicothe,1.61,5.04,6.65,80,22,41
Father Tolton,1.91,4.66,6.57,69,31,42
Macon,2.44,4.11,6.54,54,45,43
Elsberry,2.76,3.77,6.53,40,56,44
Neelyville,2.8,3.71,6.52,39,58,45
Chaffee,2.14,4.33,6.46,61,36,46
Timberland,1.98,4.46,6.45,67,34,47
Nixa,2.87,3.41,6.29,38,66,48
Linn,1.32,4.94,6.27,86,26,49
Lee's Summit,2.75,3.51,6.26,42,64,50
Liberty (Wentzville),2.37,3.86,6.24,55,53,51
Southern Boone,1.93,4.26,6.19,68,42,52
Parkway South,2.35,3.72,6.08,56,57,53
Eureka,2.07,4.0,6.07,63,50,54
