School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Mid-Buchanan,2.57,6.11,8.68,4,1,1
Highland,3.71,4.51,8.22,1,4,2
Carrollton,2.2,4.73,6.93,5,3,3
Elsberry,2.76,3.77,6.53,3,6,4
Neelyville,2.8,3.71,6.52,2,7,5
Chaffee,2.14,4.33,6.46,6,5,6
Linn,1.32,4.94,6.27,10,2,7
Iberia,1.7,3.45,5.15,7,8,8
Louisiana,1.63,1.97,3.6,8,12,9
North Platte,0.52,2.78,3.3,17,9,10
Montgomery County,0.93,2.34,3.28,13,10,11
New Bloomfield,0.66,2.04,2.7,15,11,12
Brookfield,0.6,1.63,2.23,16,13,13
Marceline,1.25,0.83,2.08,11,17,14
Eugene,0.88,1.12,2.0,14,14,15
West Platte,0.1,1.05,1.15,20,15,16
Van-Far,0.2,0.58,0.77,19,18,17
Trenton,-0.77,0.87,0.1,27,16,18
Monroe City,-0.06,-0.05,-0.11,22,20,19
South Shelby,1.22,-1.4,-0.18,12,27,20
Plattsburg,1.42,-1.79,-0.36,9,31,21
Fayette,-0.24,-0.12,-0.36,24,21,22
Russellville,0.09,-1.13,-1.04,21,25,23
Hartville,-0.88,-0.32,-1.2,29,22,24
Mark Twain,0.49,-1.7,-1.21,18,30,25
Marion C. Early,-0.79,-0.57,-1.37,28,24,26
New Covenant Academy,-1.52,0.0,-1.51,35,19,27
Kelly,-1.43,-0.39,-1.83,33,23,28
Valley Park,-0.06,-2.4,-2.46,23,36,29
Clark County,-0.61,-2.22,-2.83,26,35,30
East Carter,-0.34,-2.56,-2.9,25,37,31
Milan,-1.25,-1.65,-2.91,32,29,32
Putnam County,-1.81,-1.14,-2.96,37,26,33
Hermann,-1.91,-1.63,-3.54,38,28,34
Harrisburg,-1.56,-2.18,-3.74,36,34,35
Lathrop,-1.09,-2.93,-4.02,30,39,36
Penney,-2.33,-1.83,-4.16,41,32,37
Westran,-2.07,-2.18,-4.25,40,33,38
Sherwood,-2.46,-2.7,-5.16,42,38,39
Dixon,-1.46,-4.59,-6.05,34,42,40
Lafayette County,-2.58,-3.55,-6.14,43,40,41
St. Pius X (Festus),-1.19,-5.15,-6.34,31,44,42
Palmyra,-2.79,-3.6,-6.39,44,41,43
Jefferson (Festus),-2.02,-5.32,-7.34,39,45,44
Scotland County,-3.33,-4.79,-8.13,45,43,45
Lexington,-4.88,-7.26,-12.13,47,46,46
Crocker,-4.05,-9.05,-13.11,46,47,47
East Buchanan,-6.64,-9.44,-16.08,48,48,48
Laquey,-11.03,-14.25,-25.27,49,49,49
