Date,Home Team,Home Score,Away Team,Away Score
2024-08-29,Kelly,12,East Carter,7
2024-08-29,Washington,3,Francis Howell Central,2
2024-08-29,Eureka,5,Francis Howell North,3
2024-08-29,Hazelwood West,8,Ladue Horton Watkins,4
2024-08-29,Lafayette County,0,Lawson,16
2024-08-29,Marceline,5,New Franklin,6
2024-08-29,Maryville,5,North Andrew,7
2024-08-29,Jefferson (Festus),2,Parkway Central,8
2024-08-30,Branson,15,Aurora,4
2024-08-30,Hillcrest,8,Aurora,3
2024-08-30,Seneca,8,Aurora,12
2024-08-30,Lee's Summit North,2,Belton,9
2024-08-30,Pleasant Hill,0,Belton,10
2024-08-30,Linn,6,Blair Oaks,5
2024-08-30,Webster Groves,6,Blair Oaks,3
2024-08-30,Park Hill South,6,Blue Springs,7
2024-08-30,Park Hill South,0,Blue Springs South,16
2024-08-30,Republic,7,Bolivar,4
2024-08-30,West Plains,0,Camdenton,15
2024-08-30,Marion C. Early,0,Camdenton,6
2024-08-30,Seneca,2,Carl Junction,17
2024-08-30,Joplin,4,Carl Junction,5
2024-08-30,Waynesville,0,Carthage,8
2024-08-30,Willard,1,Carthage,8
2024-08-30,Lebanon,2,Cassville,6
2024-08-30,Park Hill,1,Centralia,6
2024-08-30,St. Michael the Archangel,3,Centralia,19
2024-08-30,Lee's Summit West,1,Chillicothe,3
2024-08-30,St. Charles,3,Chillicothe,4
2024-08-30,Wheatland,13,Climax Springs,0
2024-08-30,St. Joseph's Academy,17,Crocker,1
2024-08-30,Central (Cape Girardeau),3,Doniphan,10
2024-08-30,Notre Dame (Cape Girardeau),13,Doniphan,4
2024-08-30,Jefferson City,5,Elsberry,3
2024-08-30,Warrenton,2,Elsberry,6
2024-08-30,Humansville,11,Fair Play,6
2024-08-30,Liberty (Wentzville),1,Father Tolton,2
2024-08-30,Capital City,6,Father Tolton,3
2024-08-30,Washington,8,Fatima,9
2024-08-30,Incarnate Word Academy,1,Festus,11
2024-08-30,Chaffee,7,Festus,2
2024-08-30,Chaffee,8,Fredericktown,2
2024-08-30,Incarnate Word Academy,9,Fredericktown,6
2024-08-30,Bolivar,13,Glendale,1
2024-08-30,Sherwood,3,Glendale,8
2024-08-30,Kearney,0,Grain Valley,3
2024-08-30,Timberland,15,Hannibal,0
2024-08-30,St. Dominic,1,Highland,9
2024-08-30,Branson,3,Hillcrest,6
2024-08-30,Seneca,3,Hillcrest,8
2024-08-30,Liberty,20,Holden,4
2024-08-30,William Chrisman,3,Holden,20
2024-08-30,Jefferson (Festus),11,Incarnate Word Academy,1
2024-08-30,Lutheran South,3,Jackson,7
2024-08-30,Cor Jesu Academy,10,Jackson,9
2024-08-30,Central (Cape Girardeau),13,Jackson,12
2024-08-30,Seneca,1,Joplin,13
2024-08-30,Van Buren,0,Kelly,10
2024-08-30,Parkway South,5,Kelly,6
2024-08-30,Raymore-Peculiar,9,Lafayette (St. Joseph),0
2024-08-30,Smithville,18,Lafayette (St. Joseph),7
2024-08-30,St. Michael the Archangel,10,Lafayette (St. Joseph),7
2024-08-30,Walnut Grove,3,Lebanon,6
2024-08-30,Oak Grove,5,Lee's Summit,3
2024-08-30,Fort Osage,5,Lee's Summit,6
2024-08-30,Pleasant Hill,8,Lee's Summit North,4
2024-08-30,St. Charles,2,Lee's Summit West,17
2024-08-30,William Chrisman,2,Liberty,12
2024-08-30,Capital City,5,Liberty (Wentzville),10
2024-08-30,Winnetonka,17,Lincoln College Prep,1
2024-08-30,North Point,1,Macon,4
2024-08-30,Novinger,3,Madison,13
2024-08-30,Summit Christian Academy,4,Marion C. Early,5
2024-08-30,Clopton,14,Marion County,0
2024-08-30,Washington,7,Mexico,4
2024-08-30,Northwest (Cedar Hill),1,Mexico,3
2024-08-30,Fatima,6,Mexico,0
2024-08-30,Linn,3,Mexico,2
2024-08-30,Van Buren,2,Neelyville,8
2024-08-30,Walnut Grove,0,Nevada,8
2024-08-30,St. Teresa's Academy,16,North Kansas City,3
2024-08-30,Ruskin,0,North Kansas City,16
2024-08-30,Washington,11,Northwest (Cedar Hill),13
2024-08-30,Fatima,11,Northwest (Cedar Hill),4
2024-08-30,Fort Osage,1,Oak Grove,6
2024-08-30,Mid-Buchanan,11,Oak Park,1
2024-08-30,Platte County,15,Oak Park,0
2024-08-30,Grain Valley,9,Odessa,0
2024-08-30,Kearney,6,Odessa,4
2024-08-30,Liberty (Wentzville),4,Pacific,7
2024-08-30,Capital City,5,Pacific,1
2024-08-30,Father Tolton,15,Pacific,0
2024-08-30,St. Michael the Archangel,4,Park Hill,15
2024-08-30,Nerinx Hall,0,Parkway North,15
2024-08-30,Neelyville,1,Parkway South,3
2024-08-30,Marquette,3,Parkway West,8
2024-08-30,Mid-Buchanan,5,Platte County,2
2024-08-30,Smithville,0,Raymore-Peculiar,8
2024-08-30,Sherwood,0,Republic,12
2024-08-30,Liberty North,2,Rock Bridge,6
2024-08-30,Van-Far,2,Rolla,1
2024-08-30,Winnetonka,17,Ruskin,0
2024-08-30,Lutheran South,14,Sikeston,4
2024-08-30,Cor Jesu Academy,16,Sikeston,0
2024-08-30,Valley Park,11,St. Charles,11
2024-08-30,Cuba,0,Westran,5
2024-08-30,Webster Groves,4,Webb City,5
2024-08-30,Blair Oaks,5,Webb City,2
2024-08-30,Linn,4,Webb City,5
2024-08-30,Battle,2,Troy Buchanan,12
2024-08-30,East Carter,8,St. Clair,9
2024-08-30,Warrenton,1,Union,18
2024-08-30,Hartville,11,Waynesville,7
2024-08-30,Linn,5,Webster Groves,1
2024-08-30,Summit Christian Academy,12,West Plains,0
2024-08-30,Rockwood Summit,2,Westminster Christian Academy,3
2024-08-30,Hartville,0,Willard,8
2024-08-31,Hillcrest,11,Aurora,8
2024-08-31,Seneca,8,Aurora,12
2024-08-31,North Point,6,Battle,11
2024-08-31,Grain Valley,2,Belton,0
2024-08-31,Oak Grove,4,Belton,13
2024-08-31,Liberty,4,Belton,5
2024-08-31,Washington,9,Blair Oaks,10
2024-08-31,Liberty (Wentzville),4,Blair Oaks,3
2024-08-31,Rock Bridge,6,Blue Springs,5
2024-08-31,Rock Bridge,1,Blue Springs South,5
2024-08-31,Republic,7,Bolivar,4
2024-08-31,Marion C. Early,2,Bolivar,14
2024-08-31,Clinton,3,Boonville,5
2024-08-31,Kirksville,16,Boonville,1
2024-08-31,Fayette,5,Boonville,6
2024-08-31,Milan,8,Brashear,6
2024-08-31,Scotland County,9,Brashear,7
2024-08-31,Carthage,4,Camdenton,1
2024-08-31,Cassville,0,Camdenton,2
2024-08-31,Excelsior Springs,10,Cameron,1
2024-08-31,Lathrop,7,Cameron,6
2024-08-31,Joplin,9,Carl Junction,7
2024-08-31,Branson,2,Carl Junction,7
2024-08-31,Marshall,1,Carrollton,9
2024-08-31,Warrensburg,0,Carrollton,11
2024-08-31,Republic,6,Carthage,7
2024-08-31,Nevada,1,Cassville,7
2024-08-31,Republic,4,Cassville,3
2024-08-31,Incarnate Word Academy,10,Central (Cape Girardeau),2
2024-08-31,Lutheran South,9,Central (Cape Girardeau),0
2024-08-31,Lawson,12,Central (St. Joseph),8
2024-08-31,St. Elizabeth,6,Central (St. Joseph),8
2024-08-31,Putnam County,1,Central (St. Joseph),17
2024-08-31,Chillicothe,3,Centralia,2
2024-08-31,Oak Grove,15,Centralia,4
2024-08-31,Liberty,3,Centralia,10
2024-08-31,Notre Dame (Cape Girardeau),3,Chaffee,0
2024-08-31,Raymore-Peculiar,6,Chillicothe,5
2024-08-31,Mid-Buchanan,6,Chillicothe,0
